Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Chronic Obstructive Airway Disease	C0024117	SMN1	6606	Q16637	survival of motor neuron 1, telomeric	Epigenetic regulator	317	0.454	0.769	0.015829	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SMN2	6607	Q16637	survival of motor neuron 2, centromeric		299	0.459	0.769	0.10337	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SMPD1	6609	P17405	sphingomyelin phosphodiesterase 1	Enzyme	247	0.499	0.885	3.8932e-10	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	SMS	6611	P52788	spermine synthase		263	0.491	0.846	0.97297	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SOX9	6662	P48436	SRY-box transcription factor 9		466	0.419	0.846	0.99772	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	SP1	6667	P08047	Sp1 transcription factor	Nucleic acid binding	209	0.493	0.769	0.99997	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SP3	6670	Q02447	Sp3 transcription factor	Nucleic acid binding	28	0.711	0.5	0.99995	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	SPAM1	6677	P38567	sperm adhesion molecule 1	Enzyme	30	0.691	0.5	1.8621e-10	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SPARC	6678	P09486	secreted protein acidic and cysteine rich	Signaling	344	0.445	0.846	0.89148	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SPINT1	6692	O43278	serine peptidase inhibitor, Kunitz type 1		96	0.57	0.577	1.0175e-05	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	BPI	671	P17213	bactericidal permeability increasing protein		83	0.61	0.769	1.6514e-14	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ST2	6761		suppression of tumorigenicity 2		96	0.576	0.692		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	STAT1	6772	P42224	signal transducer and activator of transcription 1	Nucleic acid binding	531	0.399	0.885	0.99999	0.01		1.0	1	1	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	STAT5A	6776	P42229	signal transducer and activator of transcription 5A	Nucleic acid binding	318	0.445	0.808	0.99994	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	STAT5B	6777	P51692	signal transducer and activator of transcription 5B	Nucleic acid binding	357	0.442	0.808	0.99988	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	BSG	682	P35613	basigin (Ok blood group)		287	0.458	0.769	2.5873e-05	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	SUV39H1	6839	O43463	suppressor of variegation 3-9 homolog 1		77	0.595	0.577	0.98957	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SVIL	6840	O95425	supervillin		15	0.805	0.231	0.00086302	0.01		1.0	1	1	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TACR2	6865	P21452	tachykinin receptor 2	G-protein coupled receptor	33	0.7	0.5	8.8349e-05	0.01		1.0	1	0	2007.0	2007.0
Chronic Obstructive Airway Disease	C0024117	ADAM17	6868	P78536	ADAM metallopeptidase domain 17		316	0.453	0.808	0.99528	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TAF1	6872	P21675	TATA-box binding protein associated factor 1	Kinase	139	0.581	0.808	1.0	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAP3K7	6885	O43318	mitogen-activated protein kinase kinase kinase 7	Kinase	273	0.477	0.808	0.99971	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	BTF3P11	690		basic transcription factor 3 pseudogene 11		154	0.519	0.731		0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TAZ	6901	Q16635	tafazzin	Enzyme	252	0.477	0.808	0.72591	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SERPINA7	6906	P05543	serpin family A member 7	Enzyme modulator	51	0.641	0.615	0.0026137	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TCF4	6925	P15884	transcription factor 4	Transcription factor	378	0.464	0.846	0.99981	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	MIR552	693137		microRNA 552		24	0.705	0.269		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MIR637	693222		microRNA 637		28	0.695	0.423		0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TRBV20OR9-2	6962		T cell receptor beta variable 20/OR9-2 (non-functional)		456	0.403	0.923		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TEAD4	7004	Q15561	TEA domain transcription factor 4	Transcription factor	47	0.636	0.5	3.233e-05	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TERT	7015	O14746	telomerase reverse transcriptase	Enzyme	703	0.374	0.846	0.99046	0.01		1.0	1	3	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TFPI	7035	P10646	tissue factor pathway inhibitor	Enzyme modulator	230	0.486	0.808	0.2477	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TGFB3	7043	P10600	transforming growth factor beta 3	Signaling	230	0.498	0.808	0.98727	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TGFBR3	7049	Q03167	transforming growth factor beta receptor 3		117	0.55	0.808	0.0030577	0.01		1.0	1	0	2009.0	2009.0
Chronic Obstructive Airway Disease	C0024117	THAS	7055		thoracoabdominal syndrome		120	0.56	0.808		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TSPO	706	P30536	translocator protein		341	0.444	0.885	0.00027398	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NKX2-1	7080	P43699	NK2 homeobox 1	Transcription factor	319	0.457	0.808	0.35874	0.01		1.0	1	0	2000.0	2000.0
Chronic Obstructive Airway Disease	C0024117	TM7SF2	7108	O76062	transmembrane 7 superfamily member 2	Enzyme	217	0.486	0.808	1.366e-07	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CLDN5	7122	O00501	claudin 5	Cell-cell junction	104	0.559	0.769	0.89512	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TNFRSF1A	7132	P19438	TNF receptor superfamily member 1A		487	0.409	0.923	0.9949	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TNFRSF1B	7133	P20333	TNF receptor superfamily member 1B		417	0.425	0.885	0.50201	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	TNNI3	7137	P19429	troponin I3, cardiac type	Cellular structure	159	0.52	0.769	0.096284	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TNNT1	7138	P13805	troponin T1, slow skeletal type	Cellular structure	60	0.633	0.577	7.0202e-14	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	TNXB	7148	P22105	tenascin XB		127	0.572	0.731	0.018547	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TP53BP1	7158	Q12888	tumor protein p53 binding protein 1	Epigenetic regulator	158	0.52	0.731	0.99985	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	TPR	7175	P12270	translocated promoter region, nuclear basket protein		43	0.647	0.654	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TPT1	7178	P13693	tumor protein, translationally-controlled 1	Cellular structure	143	0.528	0.731	0.80548	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NR2C2	7182	P49116	nuclear receptor subfamily 2 group C member 2	Nuclear receptor	131	0.534	0.808	0.99892	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	C3AR1	719	Q16581	complement C3a receptor 1	G-protein coupled receptor	73	0.601	0.731	3.3053e-09	0.01		1.0	1	0	2004.0	2004.0
Chronic Obstructive Airway Disease	C0024117	C4A	720	P0C0L4;P0C0L5	complement C4A (Rodgers blood group)	Enzyme modulator	145	0.563	0.769	1.5416e-11	0.01		1.0	1	0	2004.0	2004.0
Chronic Obstructive Airway Disease	C0024117	TRPC1	7220	P48995	transient receptor potential cation channel subfamily C member 1	Ion channel	97	0.566	0.769	0.012904	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	TRPC3	7222	Q13507	transient receptor potential cation channel subfamily C member 3	Ion channel	102	0.57	0.731	1.0806e-07	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TRPC6	7225	Q9Y210	transient receptor potential cation channel subfamily C member 6	Ion channel	166	0.514	0.692	3.0274e-07	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	C4BPB	725	P20851	complement component 4 binding protein beta		30	0.678	0.692	4.3958e-05	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	C5AR1	728	P21730	complement C5a receptor 1	G-protein coupled receptor	179	0.513	0.808	0.40249	0.01		1.0	1	0	2004.0	2004.0
Chronic Obstructive Airway Disease	C0024117	POTEF	728378	A5A3E0	POTE ankyrin domain family member F		215	0.481	0.885	5.4522e-06	0.01		1.0	1	0	2001.0	2001.0
Chronic Obstructive Airway Disease	C0024117	TUFM	7284	P49411	Tu translation elongation factor, mitochondrial	Enzyme	45	0.678	0.615	0.004184	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	TULP3	7289	O75386	TUB like protein 3		22	0.716	0.385	1.7488e-06	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TWIST1	7291	Q15672	twist family bHLH transcription factor 1	Transcription factor	559	0.397	0.846	0.34491	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TNFRSF4	7293	P43489	TNF receptor superfamily member 4		123	0.547	0.692	0.00015133	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	TXN	7295	P10599	thioredoxin		338	0.447	0.885	0.20119	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	TXNRD1	7296	Q16881	thioredoxin reductase 1	Enzyme	136	0.529	0.692	1.6062e-06	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	UROD	7389	P06132	uroporphyrinogen decarboxylase		166	0.521	0.769	1.2563e-08	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	VCP	7415	P55072	valosin containing protein		376	0.469	0.923	0.99999	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	EZR	7430	P15311	ezrin	Cellular structure	255	0.476	0.808	0.17989	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	VIPR1	7433	P32241	vasoactive intestinal peptide receptor 1	G-protein coupled receptor	102	0.573	0.654	7.4401e-27	0.01		1.0	1	0	2010.0	2010.0
Chronic Obstructive Airway Disease	C0024117	VTN	7448	P04004	vitronectin		178	0.509	0.769	1.5014e-10	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	VWF	7450	P04275	von Willebrand factor	Enzyme modulator	498	0.408	0.885	3.2187e-25	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	WNT1	7471	P04628	Wnt family member 1	Signaling	216	0.495	0.769	0.3263	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	WNT10B	7480	O00744	Wnt family member 10B	Signaling	90	0.576	0.654	0.0003616	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	XDH	7498	P47989	xanthine dehydrogenase	Enzyme	165	0.529	0.846	2.589e-22	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	YY1	7528	P25490	YY1 transcription factor	Transcription factor	245	0.481	0.808	0.9938	0.01		1.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	ZFP36	7538	P26651	ZFP36 ring finger protein	Nucleic acid binding	161	0.523	0.692	0.75244	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CA2	760	P00918	carbonic anhydrase 2		210	0.506	0.808	1.6946e-06	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ZNF208	7757	O43345	zinc finger protein 208		11	0.769	0.231	5.6261e-05	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	PXDN	7837	Q92626	peroxidasin	Enzyme	51	0.647	0.5	2.5126e-07	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	SLC25A20	788	O43772	solute carrier family 25 member 20	Transporter	130	0.563	0.769	1.1972e-07	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	SLBP	7884	Q14493	stem-loop binding protein	Nucleic acid binding	45	0.653	0.654	0.068148	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CAD	790	P27708	carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase	Enzyme	249	0.482	0.846	0.99993	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	TRPM8	79054	Q7Z2W7	transient receptor potential cation channel subfamily M member 8	Ion channel	127	0.553	0.808	4.5964e-29	0.01		0.0	1	0	2011.0	2011.0
Chronic Obstructive Airway Disease	C0024117	MMP28	79148	Q9H239	matrix metallopeptidase 28	Enzyme	44	0.653	0.462	6.0903e-05	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FSD1	79187	Q9BTV5	fibronectin type III and SPRY domain containing 1		220	0.486	0.808	0.25199	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	TFEB	7942	P19484	transcription factor EB		150	0.527	0.731	0.89931	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	PAGR1	79447	Q9BTK6	PAXIP1 associated glutamate rich protein 1		79	0.597	0.808	0.74265	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	ADIPOR2	79602	Q86V24	adiponectin receptor 2	Receptor	103	0.564	0.731	0.36218	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	NLRX1	79671	Q86UT6	NLR family member X1	Enzyme	51	0.641	0.654	7.7345e-31	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HAND2-AS1	79804		HAND2 antisense RNA 1		38	0.663	0.462		0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CALCR	799	P30988	calcitonin receptor	G-protein coupled receptor	282	0.464	0.846	3.1176e-09	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	MAP3K19	80122	Q56UN5	mitogen-activated protein kinase kinase kinase 19	Kinase	17	0.78	0.269	1.7574e-22	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	NR4A3	8013	Q92570	nuclear receptor subfamily 4 group A member 3	Nuclear receptor	186	0.502	0.808	0.9126	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	DNAJC5	80331	Q9H3Z4	DnaJ heat shock protein family (Hsp40) member C5		52	0.653	0.5	0.81216	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	FOSL1	8061	P15407	FOS like 1, AP-1 transcription factor subunit	Transcription factor	150	0.519	0.846	0.15849	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SPX	80763	Q9BT56	spexin hormone		33	0.695	0.462	0.00011029	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	SETD7	80854	Q8WTS6	SET domain containing 7, histone lysine methyltransferase	Epigenetic regulator	62	0.628	0.615	0.0042257	0.01		1.0	1	1	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	HCG4B	80868		HLA complex group 4B		2	1.0	0.038		0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CALR	811	P27797	calreticulin	Calcium-binding protein	487	0.413	0.923	0.89133	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	FBXO38	81545	Q6PIJ6	F-box protein 38		24	0.792	0.115	0.99879	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CCNL2	81669	Q96S94	cyclin L2	Enzyme modulator	15	0.792	0.308	0.16094	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	MIA	8190	Q16674	MIA SH3 domain containing		130	0.537	0.769	1.7345e-05	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	FZD4	8322	Q9ULV1	frizzled class receptor 4	G-protein coupled receptor	239	0.49	0.923	0.96962	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	FSD1L	83856	Q9BXM9	fibronectin type III and SPRY domain containing 1 like		216	0.488	0.808	0.23386	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	PLA2G10	8399	O15496	phospholipase A2 group X	Enzyme	86	0.581	0.692	0.069507	0.01		1.0	1	0	2005.0	2005.0
Chronic Obstructive Airway Disease	C0024117	MAGT1	84061	Q9H0U3	magnesium transporter 1	Transporter	120	0.548	0.769	0.96138	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	ULK1	8408	O75385	unc-51 like autophagy activating kinase 1	Kinase	99	0.564	0.769	0.99318	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	LTBP4	8425	Q8N2S1	latent transforming growth factor beta binding protein 4	Calcium-binding protein	93	0.604	0.654	0.49911	0.01		1.0	1	0	2006.0	2006.0
Chronic Obstructive Airway Disease	C0024117	RECK	8434	O95980	reversion inducing cysteine rich protein with kazal motifs	Enzyme modulator	123	0.547	0.731	1.9319e-10	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	DOT1L	84444	Q8TEK3	DOT1 like histone lysine methyltransferase	Epigenetic regulator	79	0.599	0.692	1.0	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	CUL4A	8451	Q13619	cullin 4A	Enzyme	79	0.597	0.654	0.99999	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	AFAP1L2	84632	Q8N4X5	actin filament associated protein 1 like 2		34	0.682	0.231	0.0021581	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ACCS	84680	Q96QU6	1-aminocyclopropane-1-carboxylate synthase homolog (inactive)	Enzyme	161	0.522	0.731	8.9836e-07	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	GPR65	8477	Q8IYL9	G protein-coupled receptor 65	G-protein coupled receptor	47	0.653	0.5	0.1114	0.01		1.0	1	1	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	IL17RC	84818	Q8NAC3	interleukin 17 receptor C		65	0.633	0.615	2.3004e-14	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	IKBKG	8517	Q9Y6K9	inhibitor of nuclear factor kappa B kinase regulatory subunit gamma	Kinase	252	0.493	0.769	0.084853	0.01		1.0	1	0	2013.0	2013.0
Chronic Obstructive Airway Disease	C0024117	PIR	8544	O00625	pirin	Transcription factor	26	0.716	0.385	5.3402e-10	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	PLA2G4C	8605	Q9UP65	phospholipase A2 group IVC	Enzyme	24	0.705	0.385	1.6781e-13	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	STC2	8614	O76061	stanniocalcin 2	Signaling	88	0.573	0.692	0.26588	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HSD17B6	8630	O14756	hydroxysteroid 17-beta dehydrogenase 6	Enzyme	82	0.592	0.692	0.34807	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	AOC3	8639	Q16853	amine oxidase copper containing 3		106	0.561	0.769	6.267e-11	0.01		1.0	1	0	2017.0	2017.0
Chronic Obstructive Airway Disease	C0024117	DDX3Y	8653	O15523	DEAD-box helicase 3 Y-linked		25	0.722	0.269	0.96494	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	PNPT1	87178	Q8TCS8	polyribonucleotide nucleotidyltransferase 1	Enzyme	64	0.653	0.462	0.00040072	0.01		1.0	1	0	2014.0	2014.0
Chronic Obstructive Airway Disease	C0024117	CBS	875	P0DN79;P35520	cystathionine beta-synthase	Enzyme	295	0.465	0.885	3.0799e-05	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	ADAM9	8754	Q13443	ADAM metallopeptidase domain 9	Enzyme	109	0.56	0.654	0.029431	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	RIPK2	8767	O43353	receptor interacting serine/threonine kinase 2	Kinase	83	0.587	0.769	0.39282	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	TNFRSF10C	8794	O14798	TNF receptor superfamily member 10c		89	0.578	0.731	3.1588e-06	0.01		1.0	1	0	2016.0	2016.0
Chronic Obstructive Airway Disease	C0024117	IL18R1	8809	Q13478	interleukin 18 receptor 1	Receptor	234	0.473	0.808	8.625e-06	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	CES2	8824	O00748	carboxylesterase 2	Enzyme	87	0.584	0.731	3.5781e-16	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	NRP1	8829	O14786	neuropilin 1		246	0.476	0.808	0.98584	0.01		1.0	1	0	2006.0	2006.0
Chronic Obstructive Airway Disease	C0024117	ASAP2	8853	O43150	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2		85	0.585	0.731	0.99996	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	ARHGEF7	8874	Q14155	Rho guanine nucleotide exchange factor 7		215	0.486	0.846	0.99995	0.01		1.0	1	0	2008.0	2008.0
Chronic Obstructive Airway Disease	C0024117	SPHK1	8877	Q9NYA1	sphingosine kinase 1	Kinase	236	0.48	0.808	3.0327e-07	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	SGPL1	8879	O95470	sphingosine-1-phosphate lyase 1		85	0.597	0.731	0.0036264	0.01		1.0	1	0	2015.0	2015.0
Chronic Obstructive Airway Disease	C0024117	MBD2	8932	Q9UBB5	methyl-CpG binding domain protein 2	Epigenetic regulator	256	0.466	0.846	0.34957	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	WASF1	8936	Q92558	WASP family member 1	Cellular structure	132	0.547	0.808	0.99757	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	WNT3A	89780	P56704	Wnt family member 3A	Signaling	141	0.532	0.769	0.96491	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	CCNE1	898	P24864	cyclin E1	Enzyme modulator	133	0.538	0.731	0.97187	0.01		1.0	1	0	2019.0	2019.0
Chronic Obstructive Airway Disease	C0024117	HSPB3	8988	Q12988	heat shock protein family B (small) member 3		327	0.448	0.769	6.0944e-05	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	BMF	90427	Q96LC9	Bcl2 modifying factor		42	0.663	0.423	0.006758	0.01		1.0	1	0	2020.0	2020.0
Chronic Obstructive Airway Disease	C0024117	BTAF1	9044	O14981	B-TFIID TATA-box binding protein associated factor 1		4	0.89	0.077	1.0	0.01		1.0	1	0	2018.0	2018.0
Chronic Obstructive Airway Disease	C0024117	GPRC5A	9052	Q8NFJ5	G protein-coupled receptor class C group 5 member A	G-protein coupled receptor	90	0.579	0.692	6.786e-08	0.01		1.0	1	0	2012.0	2012.0
Chronic Obstructive Airway Disease	C0024117	CD1A	909	P06126	CD1a molecule		121	0.543	0.769	4.1954e-24	0.01		1.0	1	0	2007.0	2007.0
